,Date,Hour,load,T
0,2004-01-01,1,,37.333333333
1,2004-01-01,2,,37.666666667
2,2004-01-01,3,,37.0
3,2004-01-01,4,,36.333333333
4,2004-01-01,5,,36.0
5,2004-01-01,6,,36.0
6,2004-01-01,7,,35.666666667
7,2004-01-01,8,,35.333333333
8,2004-01-01,9,,35.333333333
9,2004-01-01,10,,35.666666667
10,2004-01-01,11,,36.0
11,2004-01-01,12,,36.666666667
12,2004-01-01,13,,37.333333333
13,2004-01-01,14,,37.0
14,2004-01-01,15,,37.666666667
15,2004-01-01,16,,36.333333333
16,2004-01-01,17,,35.0
17,2004-01-01,18,,32.333333333
18,2004-01-01,19,,31.333333333
19,2004-01-01,20,,28.666666667
20,2004-01-01,21,,28.0
21,2004-01-01,22,,27.333333333
22,2004-01-01,23,,26.0
23,2004-01-01,24,,25.333333333
24,2004-01-02,1,,24.666666667
25,2004-01-02,2,,23.333333333
26,2004-01-02,3,,22.666666667
27,2004-01-02,4,,22.0
28,2004-01-02,5,,22.0
29,2004-01-02,6,,23.666666667
30,2004-01-02,7,,24.666666667
31,2004-01-02,8,,25.666666667
32,2004-01-02,9,,26.666666667
33,2004-01-02,10,,27.0
34,2004-01-02,11,,27.333333333
35,2004-01-02,12,,27.666666667
36,2004-01-02,13,,28.333333333
37,2004-01-02,14,,28.333333333
38,2004-01-02,15,,28.666666667
39,2004-01-02,16,,29.333333333
40,2004-01-02,17,,29.333333333
41,2004-01-02,18,,29.666666667
42,2004-01-02,19,,29.666666667
43,2004-01-02,20,,29.333333333
44,2004-01-02,21,,29.0
45,2004-01-02,22,,29.0
46,2004-01-02,23,,29.333333333
47,2004-01-02,24,,29.333333333
48,2004-01-03,1,,30.666666667
49,2004-01-03,2,,30.666666667
50,2004-01-03,3,,31.0
51,2004-01-03,4,,30.666666667
52,2004-01-03,5,,29.666666667
53,2004-01-03,6,,30.333333333
54,2004-01-03,7,,30.333333333
55,2004-01-03,8,,30.666666667
56,2004-01-03,9,,31.666666667
57,2004-01-03,10,,32.333333333
58,2004-01-03,11,,33.666666667
59,2004-01-03,12,,34.0
60,2004-01-03,13,,34.333333333
61,2004-01-03,14,,34.666666667
62,2004-01-03,15,,35.666666667
63,2004-01-03,16,,36.0
64,2004-01-03,17,,36.666666667
65,2004-01-03,18,,36.333333333
66,2004-01-03,19,,36.333333333
67,2004-01-03,20,,36.333333333
68,2004-01-03,21,,36.333333333
69,2004-01-03,22,,36.333333333
70,2004-01-03,23,,36.0
71,2004-01-03,24,,35.666666667
72,2004-01-04,1,,36.0
73,2004-01-04,2,,35.333333333
74,2004-01-04,3,,36.333333333
75,2004-01-04,4,,37.333333333
76,2004-01-04,5,,37.666666667
77,2004-01-04,6,,36.333333333
78,2004-01-04,7,,35.666666667
79,2004-01-04,8,,35.666666667
80,2004-01-04,9,,35.666666667
81,2004-01-04,10,,36.0
82,2004-01-04,11,,37.0
83,2004-01-04,12,,38.333333333
84,2004-01-04,13,,38.0
85,2004-01-04,14,,37.666666667
86,2004-01-04,15,,37.666666667
87,2004-01-04,16,,37.333333333
88,2004-01-04,17,,36.333333333
89,2004-01-04,18,,35.333333333
90,2004-01-04,19,,34.333333333
91,2004-01-04,20,,34.0
92,2004-01-04,21,,32.666666667
93,2004-01-04,22,,32.666666667
94,2004-01-04,23,,31.666666667
95,2004-01-04,24,,30.666666667
96,2004-01-05,1,,30.666666667
97,2004-01-05,2,,29.333333333
98,2004-01-05,3,,29.0
99,2004-01-05,4,,28.666666667
100,2004-01-05,5,,28.0
101,2004-01-05,6,,27.666666667
102,2004-01-05,7,,27.333333333
103,2004-01-05,8,,27.333333333
104,2004-01-05,9,,27.0
105,2004-01-05,10,,27.333333333
106,2004-01-05,11,,26.666666667
107,2004-01-05,12,,26.666666667
108,2004-01-05,13,,26.333333333
109,2004-01-05,14,,26.666666667
110,2004-01-05,15,,26.0
111,2004-01-05,16,,26.0
112,2004-01-05,17,,25.333333333
113,2004-01-05,18,,25.333333333
114,2004-01-05,19,,25.0
115,2004-01-05,20,,24.333333333
116,2004-01-05,21,,24.0
