id,idade,sexo,anos_estudo,cor_raca,salario,estado_civil,regiao
11001901101.0,53,homem,5.0,Parda,63600.0,1.0,norte
11001901102.0,49,mulher,8.0,Amarela,,1.0,norte
11001901103.0,22,mulher,11.0,Indigena,4352.400390625,0.0,nordeste
11001903101.0,55,homem,15.0,Amarela,96600.0,1.0,norte
11001903102.0,56,mulher,15.0,Amarela,157800.0,1.0,norte
11001903103.0,30,mulher,15.0,Amarela,88550.0,0.0,nordeste
11001904101.0,52,mulher,5.0,Branca,6734.400390625,0.0,norte
11001904104.0,29,homem,5.0,Parda,14875.20068359375,0.0,norte
11001904105.0,29,mulher,11.0,Parda,6734.400390625,0.0,norte
11001905101.0,46,mulher,15.0,Branca,54300.0,1.0,norte
11001905102.0,52,homem,11.0,Branca,42768.0,1.0,norte
11001905103.0,22,mulher,13.0,Branca,34500.0,0.0,norte
11001907101.0,26,mulher,11.0,Parda,981.0,1.0,norte
11001907102.0,20,homem,7.0,Parda,1581.5999755859375,1.0,norte
11001908101.0,30,mulher,5.0,Parda,5136.0,1.0,norte
11001908102.0,48,homem,5.0,Parda,,1.0,norte
11001909101.0,30,mulher,5.0,Parda,,0.0,norte
11001910101.0,27,mulher,6.0,Parda,3712.0,0.0,norte
11001911101.0,33,homem,6.0,Parda,10256.7998046875,1.0,norte
11001911102.0,30,mulher,11.0,Parda,378.0,1.0,norte
11001912102.0,34,mulher,15.0,Preta,15187.19921875,0.0,norte
11001912103.0,28,mulher,15.0,Preta,,0.0,norte
11002702101.0,25,homem,11.0,Parda,16560.0,1.0,norte
11002702102.0,26,mulher,11.0,Preta,7792.19970703125,1.0,norte
11002703101.0,32,homem,7.0,Preta,8904.0,1.0,norte
11002703102.0,36,mulher,5.0,Parda,2805.2000122070312,1.0,norte
11002704101.0,40,homem,5.0,Parda,24564.0,1.0,norte
11002704102.0,38,mulher,5.0,Parda,31044.0,1.0,norte
11002706101.0,27,homem,9.0,Parda,5550.0,1.0,norte
11002706102.0,25,mulher,11.0,Branca,,1.0,norte
11002707101.0,42,mulher,15.0,Branca,38844.2783203125,1.0,norte
11002707102.0,43,homem,15.0,Parda,2034.0,1.0,norte
11002708101.0,25,homem,8.0,Parda,2476.47998046875,1.0,norte
11002708102.0,22,mulher,5.0,Branca,,1.0,norte
11002709101.0,31,mulher,11.0,Branca,7062.0,0.0,norte
11002710101.0,60,mulher,5.0,Parda,4240.0,0.0,norte
11002710102.0,24,mulher,11.0,Preta,7233.240234375,0.0,norte
