municipio_cod;municipio;pop_19;homicidio_doloso_2;nº_de_vitimas_em_homicidio_doloso_3;homicidio_doloso_por_acidente_de_transito;nº_de_vitimas_em_homicidio_doloso_por_acidente_de_transito;homicidio_culposo_por_acidente_de_transito;homicidio_culposo_outros;tentativa_de_homicidio;lesao_corporal_seguida_de_morte;lesao_corporal_dolosa;lesao_corporal_culposa_por_acidente_de_transito;lesao_corporal_culposa_outras;latrocinio;nº_de_vitimas_em_latrocinio;total_de_estupro_4;estupro;estupro_de_vulneravel;total_de_roubo_outros_1;roubo_outros;roubo_de_veiculo;roubo_a_banco;roubo_de_carga;furto_outros;furto_de_veiculo
  1;Adamantina;   35068;  2;  2;0;0;  0; 1;  0; 0;  127;  167;   4; 0; 0;  11;  4;   7;     3;     3;    0; 0;   0;   151;    3
  2;Adolfo;    3562;  0;  0;0;0;  0; 0;  0; 0;   23;    4;   0; 0; 0;   1;  0;   1;     2;     2;    0; 0;   0;    41;    0
  3;Aguaí;   36305;  3;  3;0;0;  2; 0;  1; 0;  108;   21;   0; 0; 0;   8;  0;   8;    42;    42;   11; 0;   0;   255;    5
  4;Águas da Prata;    8180;  0;  0;0;0;  1; 0;  0; 0;   22;    9;   1; 0; 0;   0;  0;   0;     1;     1;    0; 0;   0;    38;    5
  5;Águas de Lindoia;   18705;  0;  0;0;0;  3; 0;  1; 0;   30;   12;   1; 0; 0;  12;  2;  10;    18;    18;    8; 0;   0;   151;   30
  6;Águas de Santa Bárbara;    6075;  0;  0;0;0;  3; 0;  0; 0;   21;    8;   0; 0; 0;   1;  1;   0;     3;     3;    0; 0;   0;    44;    2
  7;Águas de São Pedro;    3451;  0;  0;0;0;  0; 0;  0; 0;   11;    8;   0; 0; 0;   0;  0;   0;     2;     2;    0; 0;   0;    31;    3
  8;Agudos;   37214;  3;  3;0;0;  2; 0;  3; 0;  161;   86;   1; 0; 0;  12;  5;   7;    41;    40;    7; 0;   1;   372;   35
  9;Alambari;    6025;  0;  0;0;0;  2; 0;  0; 0;   26;   12;   1; 0; 0;   0;  0;   0;     1;     1;    1; 0;   0;    46;    0
 10;Alfredo Marcondes;    4166;  0;  0;0;0;  1; 0;  0; 0;   16;    3;   0; 0; 0;   1;  0;   1;     0;     0;    0; 0;   0;    12;    0
 11;Altair;    4160;  0;  0;0;0;  1; 0;  0; 0;   22;    4;   1; 0; 0;   1;  0;   1;     1;     1;    2; 0;   0;    17;    2
 12;Altinópolis;   16184;  2;  2;0;0;  4; 0;  0; 0;   65;   33;   0; 0; 0;   5;  1;   4;    12;    10;    5; 0;   2;   126;    9
 13;Alto Alegre;    4099;  0;  0;0;0;  0; 0;  1; 0;    7;    5;   1; 0; 0;   0;  0;   0;     1;     1;    0; 0;   0;    15;    0
 14;Alumínio;   18628;  1;  1;0;0;  3; 0;  2; 0;   47;   16;   0; 0; 0;   6;  1;   5;    21;    21;    7; 0;   0;   141;   14
 15;Álvares Florence;    3679;  0;  0;0;0;  1; 0;  0; 0;   24;    7;   0; 0; 0;   0;  0;   0;     3;     3;    0; 0;   0;    51;    1
 16;Álvares Machado;   24915;  0;  0;0;0;  0; 0;  2; 0;  117;   81;   0; 0; 0;   2;  0;   2;     6;     4;    0; 0;   2;   155;    6
 17;Álvaro de Carvalho;    5227;  1;  1;0;0;  0; 0;  0; 0;   17;    2;   0; 0; 0;   4;  1;   3;     2;     2;    0; 0;   0;    29;    0
 18;Alvinlândia;    3222;  0;  0;0;0;  0; 0;  0; 0;   17;    1;   1; 0; 0;   1;  0;   1;     1;     1;    0; 0;   0;     8;    2
 19;Americana;  239597;  8;  8;0;0; 21; 2; 10; 0;  740;  949;  11; 1; 1;  29;  8;  21;   605;   590;  127; 0;  15;  2497; 1004
 20;Américo Brasiliense;   40504;  2;  3;0;0;  2; 0;  9; 0;   91;   32;   0; 0; 0;  14;  2;  12;    39;    38;    1; 0;   1;   274;   22
 21;Américo de Campos;    5969;  0;  0;0;0;  1; 0;  0; 0;   29;   12;   0; 0; 0;   3;  1;   2;     3;     3;    0; 0;   0;    77;    1
 22;Amparo;   72195;  4;  4;0;0;  1; 0;  9; 0;  236;   74;   5; 0; 0;  22;  8;  14;    84;    84;   22; 0;   0;   466;   58
