Lag1,Lag2,Lag3,Lag4,Lag5,Volume,Today,Direction
381.0,-192.0,-2624.0,-1055.0,5.01,1.1913,959.0,Up
959.0,381.0,-192.0,-2624.0,-1055.0,1.2965,1032.0,Up
1032.0,959.0,381.0,-192.0,-2624.0,1.4112,-623.0,Down
-623.0,1032.0,959.0,381.0,-192.0,1276.0,614.0,Up
614.0,-623.0,1032.0,959.0,381.0,1.2057,213.0,Up
213.0,614.0,-623.0,1032.0,959.0,1.3491,1392.0,Up
1392.0,213.0,614.0,-623.0,1032.0,1445.0,-403.0,Down
-403.0,1392.0,213.0,614.0,-623.0,1.4078,27.0,Up
27.0,-403.0,1392.0,213.0,614.0,1164.0,1303.0,Up
1303.0,27.0,-403.0,1392.0,213.0,1.2326,287.0,Up
287.0,1303.0,27.0,-403.0,1392.0,1309.0,-498.0,Down
-498.0,287.0,1303.0,27.0,-403.0,1258.0,-189.0,Down
-189.0,-498.0,287.0,1303.0,27.0,1098.0,0.68,Up
0.68,-189.0,-498.0,287.0,1303.0,1.0531,701.0,Up
701.0,0.68,-189.0,-498.0,287.0,1.1498,-562.0,Down
-562.0,701.0,0.68,-189.0,-498.0,1.2953,546.0,Up
546.0,-562.0,701.0,0.68,-189.0,1.1188,-1747.0,Down
-1747.0,546.0,-562.0,701.0,0.68,1.0484,359.0,Up
359.0,-1747.0,546.0,-562.0,701.0,1013.0,-151.0,Down
-151.0,359.0,-1747.0,546.0,-562.0,1.0596,-841.0,Down
-841.0,-151.0,359.0,-1747.0,546.0,1.1583,-623.0,Down
-623.0,-841.0,-151.0,359.0,-1747.0,1.1072,-1334.0,Down
-1334.0,-623.0,-841.0,-151.0,359.0,1.0755,1183.0,Up
1183.0,-1334.0,-623.0,-841.0,-151.0,1.0391,-865.0,Down
-865.0,1183.0,-1334.0,-623.0,-841.0,1.0752,-218.0,Down
-218.0,-865.0,1183.0,-1334.0,-623.0,1.1503,812.0,Up
812.0,-218.0,-865.0,1183.0,-1334.0,1.1537,-1891.0,Down
-1891.0,812.0,-218.0,-865.0,1183.0,1.2572,-1736.0,Down
-1736.0,-1891.0,812.0,-218.0,-865.0,1.1122,-1851.0,Down
-1851.0,-1736.0,-1891.0,812.0,-218.0,1.2085,-195.0,Down
-195.0,-1851.0,-1736.0,-1891.0,812.0,1.3659,-556.0,Down
-556.0,-195.0,-1851.0,-1736.0,-1891.0,1.2313,1749.0,Up
1749.0,-556.0,-195.0,-1851.0,-1736.0,1.1308,-766.0,Down
-766.0,1749.0,-556.0,-195.0,-1851.0,1.1141,-1431.0,Down
-1431.0,-766.0,1749.0,-556.0,-195.0,1.2253,104.0,Up
104.0,-1431.0,-766.0,1749.0,-556.0,1.2949,-568.0,Down
-568.0,104.0,-1431.0,-766.0,1749.0,1294.0,586.0,Up
586.0,-568.0,104.0,-1431.0,-766.0,0.9292,998.0,Up
998.0,586.0,-568.0,104.0,-1431.0,1.0918,645.0,Up
645.0,998.0,586.0,-568.0,104.0,1.1322,226.0,Up
226.0,645.0,998.0,586.0,-568.0,1.1141,-2476.0,Down
-2476.0,226.0,645.0,998.0,586.0,1.0859,-4318.0,Down
-4318.0,-2476.0,226.0,645.0,998.0,1229.0,1483.0,Up
1483.0,-4318.0,-2476.0,226.0,645.0,1.3609,-2584.0,Down
-2584.0,1483.0,-4318.0,-2476.0,226.0,1.3974,587.0,Up
587.0,-2584.0,1483.0,-4318.0,-2476.0,1.2595,-1962.0,Down
-1962.0,587.0,-2584.0,1483.0,-4318.0,1.54356,1763.0,Up
1763.0,-1962.0,587.0,-2584.0,1483.0,1.1262,-2408.0,Down
-2408.0,1763.0,-1962.0,587.0,-2584.0,1.2359,-1792.0,Down
-1792.0,-2408.0,1763.0,-1962.0,587.0,1.3463,-406.0,Down
-406.0,-1792.0,-2408.0,1763.0,-1962.0,1.72395,1991.0,Up
1991.0,-406.0,-1792.0,-2408.0,1763.0,1.3649,1128.0,Up
1128.0,1991.0,-406.0,-1792.0,-2408.0,1114.0,2557.0,Up
2557.0,1128.0,1991.0,-406.0,-1792.0,1.3142,-2443.0,Down
-2443.0,2557.0,1128.0,1991.0,-406.0,1.3334,-463.0,Down
-463.0,-2443.0,2557.0,1128.0,1991.0,1.2345,1078.0,Up
1078.0,-463.0,-2443.0,2557.0,1128.0,1.2808,-1246.0,Down
-1246.0,1078.0,-463.0,-2443.0,2557.0,1.2549,-3439.0,Down
-3439.0,-1246.0,1078.0,-463.0,-2443.0,1.3861,-0.29,Down
-0.29,-3439.0,-1246.0,1078.0,-463.0,1.42559,4368.0,Up
4368.0,-0.29,-3439.0,-1246.0,1078.0,1368.0,-1998.0,Down
-1998.0,4368.0,-0.29,-3439.0,-1246.0,1.2668,812.0,Up
812.0,-1998.0,4368.0,-0.29,-3439.0,1.0628,2707.0,Up
2707.0,812.0,-1998.0,4368.0,-0.29,1.3496,-213.0,Down
-213.0,2707.0,812.0,-1998.0,4368.0,1.2903,1.51,Up
1.51,-213.0,2707.0,812.0,-1998.0,1102.0,-323.0,Down
-323.0,1.51,-213.0,2707.0,812.0,0.9139,1028.0,Up
1028.0,-323.0,1.51,-213.0,2707.0,1.1096,3889.0,Up
3889.0,1028.0,-323.0,1.51,-213.0,1.9189,1254.0,Up
1254.0,3889.0,1028.0,-323.0,1.51,1.4868,-854.0,Down
-854.0,1254.0,3889.0,1028.0,-323.0,1.3387,-1498.0,Down
-1498.0,-854.0,1254.0,3889.0,1028.0,1.0126,-1216.0,Down
-1216.0,-1498.0,-854.0,1254.0,3889.0,1.2165,1594.0,Up
1594.0,-1216.0,-1498.0,-854.0,1254.0,1.2036,0.47,Up
0.47,1594.0,-1216.0,-1498.0,-854.0,1.3452,1501.0,Up
1501.0,0.47,1594.0,-1216.0,-1498.0,1.0913,-287.0,Down
-287.0,1501.0,0.47,1594.0,-1216.0,1.2668,1359.0,Up
1359.0,-287.0,1501.0,0.47,1594.0,1.1813,78.0,Up
78.0,1359.0,-287.0,1501.0,0.47,1.3422,-1487.0,Down
-1487.0,78.0,1359.0,-287.0,1501.0,1.1379,1444.0,Up
1444.0,-1487.0,78.0,1359.0,-287.0,1.0821,-245.0,Down
-245.0,1444.0,-1487.0,78.0,1359.0,949.0,-183.0,Down
-183.0,-245.0,1444.0,-1487.0,78.0,1.0063,-449.0,Down
-449.0,-183.0,-245.0,1444.0,-1487.0,1.1324,-29.0,Down
-29.0,-449.0,-183.0,-245.0,1444.0,1.0567,-758.0,Down
-758.0,-29.0,-449.0,-183.0,-245.0,0.9062,261.0,Up
261.0,-758.0,-29.0,-449.0,-183.0,0.8582,42.0,Up
42.0,261.0,-758.0,-29.0,-449.0,1.0718,2845.0,Up
2845.0,42.0,261.0,-758.0,-29.0,1.4053,272.0,Up
272.0,2845.0,42.0,261.0,-758.0,1.3556,269.0,Up
269.0,272.0,2845.0,42.0,261.0,1.1308,1615.0,Up
1615.0,269.0,272.0,2845.0,42.0,1.1749,-263.0,Down
-263.0,1615.0,269.0,272.0,2845.0,1.2604,-1553.0,Down
-1553.0,-263.0,1615.0,269.0,272.0,1.1348,0.32,Up
0.32,-1553.0,-263.0,1615.0,269.0,1.1007,-1182.0,Down
-1182.0,0.32,-1553.0,-263.0,1615.0,0.8281,-779.0,Down
-779.0,-1182.0,0.32,-1553.0,-263.0,1026.0,-1566.0,Down
-1566.0,-779.0,-1182.0,0.32,-1553.0,1.1586,0.62,Up
0.62,-1566.0,-779.0,-1182.0,0.32,1.2266,386.0,Up
386.0,0.62,-1566.0,-779.0,-1182.0,1015.0,511.0,Up
511.0,386.0,0.62,-1566.0,-779.0,0.8365,1299.0,Up
1299.0,511.0,386.0,0.62,-1566.0,1.1168,-1055.0,Down
-1055.0,1299.0,511.0,386.0,0.62,1.0619,546.0,Up
546.0,-1055.0,1299.0,511.0,386.0,1.0896,-0.94,Down
-0.94,546.0,-1055.0,1299.0,511.0,0.7262,-836.0,Down
-836.0,-0.94,546.0,-1055.0,1299.0,0.8701,116.0,Up
116.0,-836.0,-0.94,546.0,-1055.0,1.1365,-1135.0,Down
-1135.0,116.0,-836.0,-0.94,546.0,1.0636,-1.75,Down
-1.75,-1135.0,116.0,-836.0,-0.94,1.2429,-452.0,Down
-452.0,-1.75,-1135.0,116.0,-836.0,1.63555,-488.0,Down
-488.0,-452.0,-1.75,-1135.0,116.0,1.1116,343.0,Up
343.0,-488.0,-452.0,-1.75,-1135.0,1.1849,871.0,Up
871.0,343.0,-488.0,-452.0,-1.75,1.3501,1136.0,Up
1136.0,871.0,343.0,-488.0,-452.0,1.54682,-945.0,Down
-945.0,1136.0,871.0,343.0,-488.0,1.1892,-551.0,Down
-551.0,-945.0,1136.0,871.0,343.0,1.0501,-151.0,Down
-151.0,-551.0,-945.0,1136.0,871.0,1.1989,-468.0,Down
-468.0,-151.0,-551.0,-945.0,1136.0,1.1621,1249.0,Up
1249.0,-468.0,-151.0,-551.0,-945.0,1.3273,-148.0,Down
-148.0,1249.0,-468.0,-151.0,-551.0,1.83236,1008.0,Up
1008.0,-148.0,1249.0,-468.0,-151.0,1.1283,-184.0,Down
-184.0,1008.0,-148.0,1249.0,-468.0,0.62211,-1232.0,Down
-1232.0,-184.0,1008.0,-148.0,1249.0,0.9349,-2.35,Down
-2.35,-1232.0,-184.0,1008.0,-148.0,1.0567,688.0,Up
688.0,-2.35,-1232.0,-184.0,1008.0,1.0457,-1.44,Down
-1.44,688.0,-2.35,-1232.0,-184.0,1.2638,-113.0,Down
-113.0,-1.44,688.0,-2.35,-1232.0,1.3841,2369.0,Up
2369.0,-113.0,-1.44,688.0,-2.35,1394.0,624.0,Up
624.0,2369.0,-113.0,-1.44,688.0,1.1217,-1088.0,Down
-1088.0,624.0,2369.0,-113.0,-1.44,1.0398,997.0,Up
997.0,-1088.0,624.0,2369.0,-113.0,1.2381,-554.0,Down
-554.0,997.0,-1088.0,624.0,2369.0,1.3163,605.0,Up
605.0,-554.0,997.0,-1088.0,624.0,1.3435,-343.0,Down
-343.0,605.0,-554.0,997.0,-1088.0,1.1709,-1637.0,Down
-1637.0,-343.0,605.0,-554.0,997.0,0.9869,-1627.0,Down
-1627.0,-1637.0,-343.0,605.0,-554.0,1.1987,1608.0,Up
1608.0,-1627.0,-1637.0,-343.0,605.0,1.2807,1045.0,Up
1045.0,1608.0,-1627.0,-1637.0,-343.0,1.2139,0.24,Up
0.24,1045.0,1608.0,-1627.0,-1637.0,1.0153,-108.0,Down
-108.0,0.24,1045.0,1608.0,-1627.0,0.9091,557.0,Up
557.0,-108.0,0.24,1045.0,1608.0,1.1292,388.0,Up
388.0,557.0,-108.0,0.24,1045.0,1.3403,396.0,Up
396.0,388.0,557.0,-108.0,0.24,1.2183,-524.0,Down
-524.0,396.0,388.0,557.0,-108.0,0.9399,-1142.0,Down
-1142.0,-524.0,396.0,388.0,557.0,0.8117,327.0,Up
327.0,-1142.0,-524.0,396.0,388.0,1012.0,-1733.0,Down
-1733.0,327.0,-1142.0,-524.0,396.0,1.1246,-8.0,Down
-8.0,-1733.0,327.0,-1142.0,-524.0,1.1042,569.0,Up
569.0,-8.0,-1733.0,327.0,-1142.0,0.9609,95.0,Up
95.0,569.0,-8.0,-1733.0,327.0,0.8376,-383.0,Down
-383.0,95.0,569.0,-8.0,-1733.0,0.9646,-734.0,Down
-734.0,-383.0,95.0,569.0,-8.0,1.0656,309.0,Up
309.0,-734.0,-383.0,95.0,569.0,1.0554,-1666.0,Down
-1666.0,309.0,-734.0,-383.0,95.0,0.9743,812.0,Up
812.0,-1666.0,309.0,-734.0,-383.0,0.8971,-1208.0,Down
-1208.0,812.0,-1666.0,309.0,-734.0,1.0416,696.0,Up
696.0,-1208.0,812.0,-1666.0,309.0,1.1108,-276.0,Down
-276.0,696.0,-1208.0,812.0,-1666.0,0.9862,1965.0,Up
1965.0,-276.0,696.0,-1208.0,812.0,1.0436,-483.0,Down
-483.0,1965.0,-276.0,696.0,-1208.0,0.8426,-1501.0,Down
-1501.0,-483.0,1965.0,-276.0,696.0,0.9871,-1115.0,Down
-1115.0,-1501.0,-483.0,1965.0,-276.0,0.9637,-1.7,Down
-1.7,-1115.0,-1501.0,-483.0,1965.0,1157.0,403.0,Up
403.0,-1.7,-1115.0,-1501.0,-483.0,0.9201,-56.0,Down
-56.0,403.0,-1.7,-1115.0,-1501.0,1.1783,-106.0,Down
-106.0,-56.0,403.0,-1.7,-1115.0,1.3845,-2239.0,Down
-2239.0,-106.0,-56.0,403.0,-1.7,1.3597,-1864.0,Down
-1864.0,-2239.0,-106.0,-56.0,403.0,1.4243,623.0,Up
623.0,-1864.0,-2239.0,-106.0,-56.0,1.2766,-4922.0,Down
-4922.0,623.0,-1864.0,-2239.0,-106.0,2.33083,-0.58,Down
-0.58,-4922.0,623.0,-1864.0,-2239.0,1.65041,-1611.0,Down
-1611.0,-0.58,-4922.0,623.0,-1864.0,2.12055,-3106.0,Down
-3106.0,-1611.0,-0.58,-4922.0,623.0,2.0048,-1903.0,Down
-1903.0,-3106.0,-1611.0,-0.58,-4922.0,2.3173,3898.0,Up
3898.0,-1903.0,-3106.0,-1611.0,-0.58,1.7466,879.0,Up
879.0,3898.0,-1903.0,-3106.0,-1611.0,1.6138,-517.0,Down
-517.0,879.0,3898.0,-1903.0,-3106.0,1.5191,1149.0,Up
1149.0,-517.0,879.0,3898.0,-1903.0,1467.0,2192.0,Up
2192.0,1149.0,-517.0,879.0,3898.0,1.6315,-0.23,Down
